id,date,like,text,hashtag
journeys_table,2021-09-28 00:00:00+00:00,영상,꾸준히 마컬에서 사먹는 🥢 남편이랑 딸이 제육볶음을 워낙 좋아해서 마트나 온라인 장볼때 필수로 하나씩 사보는데 저희집에선 아직까지 요게 베스트에요 세일하면 무조건 담는 잇템 아이가 먹기에 맵기도 딱 좋고 가격도 맛도 좋아요 양파나 버섯 파 정도만 송송 썰어서 볶으면 한끼 식사 끝 13시간,"['#고추장제육불고기', '#오늘도잘먹었습니다', '#온더테이블', '#마켓컬리', '#id_kiki0906', '#집밥', '#집밥스타그램', '#홈쿡', '#홈쿡스타그램', '#제육볶음', '#체어맨스리저브고추장제육불고기', '#체어맨스리저브', '#고추장불고기', '#foodpic', '#저녁밥상']"
derod_rockmoo,2021-09-28 00:00:00+00:00,영상,내릴땐 왠지 이라던지 같은 면류가 떠오르지만 (개인적으로 선호합니다) 오늘의 메뉴는 다름아닌 ... 를 준비해봤어요🤤🤤 돈마호크돈까스는 를 구입했고 햄버거스테이크는 를 구입했어요🥩🥩 에어프라이어에 150°c에 15분 굽고 뒤집어서 180°c에 15분 구우면 완성!! 올리고 샐러드에 소스 뿌리고 전자레인지에 돌려주면 끝!! 맛이야 뭐... 특히나 반숙노른자가 톡!하고 터진 햄버거스테이크란... ㅋ ㅑ~ . . . . . 13시간,"['#비가', '#파전', '#국수', '#짬뽕', '#양식', '#돈마호크돈까스', '#햄버거스테이크', '#마켓컬리에서', '#하코야돈마호크카츠', '#델리치오와규햄버거패티', '#써니사이드업', '#폰타나비프크림수프', '#쿡스타그램', '#집밥스타그램', '#맛스타그램', '#먹스타그램', '#평일저녁', '#비오는날엔', '#양식이지', '#마켓컬리', '#하코야돈마호크카츠', '#델리치오와규햄버거패티', '#폰타나비프크림수프', '#써니사이드업', '#내돈내산', '#갤럭시z폴드3', '#맞팔', '#맞팔해요', '#맞팔환영']"
nyom.nyom_e,2021-09-28 00:00:00+00:00,영상,구월 이십칠일 만들어먹는 샐러드 기록📎 . . ✔️단호박 발사믹 샐러드 . . 점심을 무겁게 먹어서 저녁은 간단히 먹었다 채소믹스(가성비 굳)에 단호박쪄서 올리고 렌틸플레이크 발사믹식초 올리브오일 후추랑 꿀뿌리고 먹다가 남은 소스는 통밀빵 찍어먹기😋 놀랍게도 모두 다 컬리에서 장본 것들..이군💟 . . . . 13시간,"['#뇸뇸기록_요리', '#샐러드', '#단호박샐러드', '#통밀빵', '#발사믹', '#요리스타그램', '#먹스타그램', '#신혼밥상', '#daily', '#cooking', '#diet', '#다이어트식단', '#슬기로운요리생활', '#마켓컬리']"
lohaspapa.official,2021-09-28 00:00:00+00:00,영상,"@cafe_sury ・・・ 고소한 생각나는 가을이에요🍂 이왕이면 건강에 좋은 🥛우유로 마시면 좋겠죠 😀 제주의 광활한 초지에서 온 “Full100 제주유기농목초우유” 만나봤어요 ▫️유기농 풀만 100% 먹고 자란 젖소 ▫️동물복지 / 자연순환 생태 인증목장 는 우유맛에 따라 그 풍미가 좌우되잖아요 좋은 환경에서 자란 🐄소들에게서 나온 우유라 그런지 신선한 맛이 느껴졌어요 풀백우유로 만든 너무나 꼬수워서 폴바셋 부럽지 않은 맛이더라구요 ㅋㅋㅋ 아이들 아침에 시리얼 먹을때, 간식으로 과일청라떼 해줄때도 해줘야겠어요 🤍 알고보니 이라 자주 품절되더라구요. 저도 두팩씩 쟁이고 있네요🤍 매일 마시는 우유, 더 건강한 풀백우유 추천드립니다. @lohaspapa.official 13시간","['#라떼한잔', '#유기농우유', '#라떼', '#카페라떼', '#라떼맛집', '#마켓컬리추천템', '#로하스파파', '#커피스타그램', '#목초우유', '#유기농간식', '#마켓컬리', '#마켓컬리추천', '#마켓컬리추천템', '#마켓컬리장바구니']"
keto_jeong,2021-09-28 00:00:00+00:00,영상,컨디션 회복을 위한 야채한상구이🥗 모더나 1차후 3주차. 아직도 컨디션 안좋아요 오늘은 두통도 심하고 목도아프고 한달째 체중도 정체중인데 역시 건강해야 다이어트도 가능..🤒 (아침에 먹다남은 오리구이도 간단히 데워서 곁들🍗) 이렇게 맛있는지 몰랐네요 키친타월로 물기 찹찹 빼고 오일 살짝 바르고 후추 소금뿌리고 구우면 끝🧂 목양체질이라 찰떡궁합일텐뎅 이번엔 통으로 사다가 먹을까바요🥰 . . . 셀프홍보인가 13시간,"['#연근구이', '#오늘의키토식', '#야채오븐구이', '#광파오븐', '#마켓컬리추천상품', '#손질연근', '#애호박구이', '#냉털요리', '#1인밥상', '#간단레시피', '#다이어트식단']"
mimiming_food,2021-09-28 00:00:00+00:00,영상,이제 냉동 도시락과 이별해야한다니..안녕👋[키플 - 로제 치즈 부어스트] . 맛있었댜 당근이랑 브로콜리는 간이 1도 안되어있어서 로제 소스에 찍어먹음 에서 구매 . 14시간,"['#로제치즈부어스트', '#키플', '#마켓컬리', '#부산', '#로제소세지', '#로제', '#냉동도시락', '#foodgram', '#foodgraphy', '#instagram', '#instagood', '#instafood']"
ej_eg_mom,2021-09-28 00:00:00+00:00,영상,- - . . 14시간,"['#월요일', '#어린이들', '#등교', '#😉', '#새벽배송', '#마켓컬리', '#정리하고', '#박스', '#버려주는', '#두아들', '#👍🏻', '#이럴때는', '#든든한', '#형제', '#💕', '#오후간식', '#슈크림', '#들어있는', '#볼', '#😋', '#맛스타그램', '#아들맘', '#기록']"
yulicious_diet,2021-09-28 00:00:00+00:00,영상,"2021.09.28 연어구이, 적양배추볶음, 계란후라이, 약콩현미밥 오늘의 운동후 식사는 오븐에구운연어🧡 에서 구매했어요! 한팩에 5개들어있고 하나씩 소포장되어 편하네용ㅎㅎ구워져있는거라 냉동된 상태로 전자레인지에 2분이면 조리 끝!! 쏘 간편… 오늘처럼 하체해서 호돌거리는날 후다닥 탄단지 챙길 수 있어서 좋네유👍 적양배추랑 양파는 채썰어서 간장, 알룰로스 넣고 짭짤달달하게 볶아주고, 뭔가 색감이 허전해서 적치커리 하나 뜯어서 구석에 쳐박 데코했음다🌱 회사에서 받은 스트레스,, 운동으로 1차 날리고 건강한 식단으로 2차 힐링까지 해주면!! 왠지 그 날 하루를 잘 보낸 것 같고 그래요ㅋㅋㅋㅋ이 맛에 유지어터 한다…(코쓱) 괜시리 잘산것같은 그런 기분…🤧 이번주 너무 안가고 힘든데 저만 그런가여? 쩝… 9월아 얼른 끝나버려라~!👋 14시간","['#마켓컬리', '#은하수산', '#다이어트', '#유지어터', '#다이어터', '#운동하는여자', '#다이어트레시피', '#연어', '#샐러드', '#단백질', '#식단', '#요리', '#요리스타그램', '#직장인도시락', '#인바디', '#바디프로필', '#식단일기', '#foodie', '#eatstagram', '#foodpic', '#foodieheaven', '#bonappetit', '#healthymeals', '#healthyrecipes', '#youarewhatyoueat']"
lotusflowerlady7,2021-09-28 00:00:00+00:00,영상,"9/28 아침 : 아이스아메리카노, 포두부 야채말이(소스❌) 점심 : 소라숙회, 양배추쌈, 어린이용 잡채, 컬리플라워라이스 저녁 : 계란 두개, 아몬드브리즈 초콜릿이 너무 먹고 싶었다. 저녁을 회사에서 못 먹어서 버스 내리고 편의점에 가서 초콜릿을 쓱 보았는데 아무리 작은것도 칼로리가 100이나 되서 그냥 내려놓았다. 초콜릿을 자유롭게 먹을 수 있는 날은 언제 올까? 14시간","['#식단', '#식단일기', '#식단기록', '#식단조절', '#식단공유', '#식단일지', '#다이어트', '#다이어트식단', '#컬리플라워라이스', '#포두부', '#포두부요리', '#포두부쌈', '#포두부야채말이', '#마켓컬리', '#소라숙회', '#양배추쌈']"
jyujin_beautifullife,2021-09-28 00:00:00+00:00,영상,닭가슴살볶음덮밥 🍗 마늘 양파 굴소스 1/2스푼 닭가슴살 볶볶 🍚 현미곤약밥 1/2 🍳 계란후라이 올려서 🥬 깻잎 양배추에 싸먹으면 꿀맛이예요 🍣 낮에 만든 두부유부초밥 🍇 후식은 포도 좀 과한가 싶은데 하체운동+복근운동 하고 넘 배고파서 보이는대로 다 차리고 보니 :) 💡 닭가슴살볶을때 마지막에 물 한스푼 넣고 뚜껑닫아 기다리면 촉촉해서 덮밥과 어울려요! 14시간,"['#다이어트식단', '#유지어터식단', '#건강한식단', '#식단기록', '#마켓컬리', '#르쿠르제', '#닭가슴살요리', '#두부요리', '#두부유부초밥']"
