product_name,product_price,product_content,product_code,product_url
[Kurly's] 동물복지 유정란 20구,"8,950원",1구 당 판매가: 448원,29850,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=29850&page=
[썬키스트] 팬시 레몬 1개,990원,레몬청 담그기 딱 좋은 싱싱한 레몬 (1개),267,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=267&page=
[마이비밀] 다이어트 도시락 6종,"4,200원",걱정없는 든든한 한끼,56117,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=56117&page=
[어게인리프레쉬] 샐러드 5종,"5,900원",내 취향에 맞는 샐러드 고르기,26771,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=26771&page=
[고래사] 스페셜 어묵 4종,"2,800원",쫄깃한 어육의 속을 꽉 채운,38249,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=38249&page=
[KF365] 1+등급 무항생제 특란 10구,"3,800원",1구 당 판매가 : 380원,56790,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=56790&page=
[LOTS OF LOVE] 차돌듬뿍 묵은지 볶음밥,"7,800원",묵은지와 차돌박이의 기분 좋은 조화,25689,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=25689&page=
[샛별배송] 하이트진로 석수 2L X 6개입,"2,300원",[1개당 약 400원] 미네랄이 담긴 천연 광천수,53097,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=53097&page=
[청해두부] 토종콩 두부 & 순두부,"3,000원",첨가제 없이 만든 국산콩 두부 & 순두부,1673,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=1673&page=
GAP 씻어나온 사과 2종,"1,980원",껍질째 바로 먹는 간편한 GAP 인증 사과 2종(중소과/중과),35738,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=35738&page=
[매일] 소화가 잘되는 우유 2종,"3,150원",유당은 제거하고 칼슘은 높인,34152,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=34152&page=
[폰타나] 파스타소스 6종,"2,950원",이탈리아 정통 레시피를 담아낸,6565,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=6565&page=
[켈로그] 컵 시리얼 4종,"1,090원",용기가 필요 없어 간편,61965,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=61965&page=
[Kurly's] 데일리 물티슈 2종,"1,400원",믿고 쓰는 우리 집 물티슈,61286,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=61286&page=
[포비베이글] 베이글 7종,"2,500원",기본을 지킨 베이글 (new! 4종 신규 오픈),43007,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=43007&page=
[서울마님] 간편 간식 떡구이 5종 (냉동),"1,900원",다양한 토핑으로 채운 떡 구이,73865,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=73865&page=
[Better me] 닭가슴살 소시지 3종,"1,800원",무항생제 닭가슴살을 이용한 소시지,69951,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69951&page=
[KF365] 무 1통,"1,680원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",31395,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31395&page=
[KF365] 국산 브로콜리 1입,"2,500원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",54660,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=54660&page=
[쌜모네키친] 오로라 생연어 (냉장),"14,000원",집에서 프로처럼 연어회 즐기기,1391,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=1391&page=
[상하목장] 유기농 우유,"7,100원",행복한 소가 주는 자연의 선물,1691,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=1691&page=
[망넛이네] 찹싸루니 8종,"3,500원",누구나 편안하게 즐기는 찹쌀빵 (new 옵션추가),60559,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=60559&page=
[굽네] 소스가 맛있는 닭가슴살 3종,"2,350원",맛있게 먹는 닭가슴살,62521,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=62521&page=
[Kurly's] 동물복지 백색 유정란 20구,"9,500원",1구 당 판매가: 475원,31086,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31086&page=
[델리치오] 호주산 목초육 안심 스테이크 250g (냉장),"19,000원",100g당 판매가: 7600원,47857,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=47857&page=
[CJ프레시웨이] 훈제오리,"4,900원",간편하게 데워 먹는 오리고기 (1팩 200g),49819,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=49819&page=
[후디스] 그릭 요거트 대용량 2종,"4,450원",넉넉하게 즐기는 그릭 요거트,47640,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=47640&page=
[우주] 프리미엄 손질 생새우살 200g (냉동),"8,400원",두루 사용하기 좋은 간편 새우,54074,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=54074&page=
[종가집] 아침에on 국산콩 고소한 두부 반모 2종,"1,590원",국내산 두부로 만든 찌개용/부침용 두부 반모,30068,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=30068&page=
[석관동 떡볶이] 오리지널 떡볶이,"5,000원",매콤하고 달달한 2인용 떡볶이,54622,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=54622&page=
미미네 떡볶이,"4,900원","드디어, 집에서 만나는 미미네 떡볶이",29682,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=29682&page=
[생활공작소] 고무장갑 6종,"2,200원",차분한 색으로 꼼꼼하게 완성한,35741,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=35741&page=
친환경 대파 250g,"2,190원",향이 진하고 단맛도 강한 싱싱한 대파 (250g),95,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=95&page=
[상하목장] 유기농 우유 & 저지방 우유,"4,490원",행복한 소가 만들어낸 행복한 한 모금,7540,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=7540&page=
[프레드] 프로틴 케이크 8종,"4,500원",간편하고 맛있게 먹는 단백질,37604,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=37604&page=
MY FIRST 처음 만나는 진짜 모닝롤,"4,300원",매일 먹어도 질리지 않는 빵,12569,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=12569&page=
[상하치즈] 유기농 아이치즈 3종 (10매입),"3,399원",탄탄한 영양학적 설계로 이루어진 우리 아이의 건강 간식,3748,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=3748&page=
[라라스윗] 칼로리가 가벼운 아이스크림 12종,"7,900원",쿠키앤크림 신규 런칭! 다채롭게 즐기는 달콤 한 스푼,13500,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=13500&page=
[라쿠치나] 수프 6종,"2,800원","NEW 헝가리안굴라쉬, 밤크림수프 오픈",2749,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=2749&page=
[Sea to Table] 손질 생새우살 200g (냉동),"8,300원","껍질, 내장, 꼬리까지 완벽 제거한 손질 생새우",29524,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=29524&page=
[상하목장] 유기농 우유,"4,380원",넉넉하게 만나는 유기농 우유,48852,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=48852&page=
[Better me] 냉동 닭가슴살 4종,"1,700원",Better me 오리지널의 식감은 살리고 염도는 줄인(낱개 구매 가능),26847,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=26847&page=
[일일특가][마이하노이] 고기폭탄쌀국수,"6,900원","신사동 가로수길, 하노이식 정통 쌀국수 집",71408,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=71408&page=
[풀무원] 돌얼음 2종 (봉지),"1,950원",투명하고 단단한 간편 얼음,38305,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=38305&page=
MY FIRST 처음 만나는 진짜 식빵,"4,900원",마침내 찾은 든든한 행복,4411,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=4411&page=
[햇반] 백미밥 210g (1입/6입),"6,800원","갓 지은 밥 맛! 햇반을 낱개로, 6개입으로 알뜰하게 구매하세요!",3490,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=3490&page=
[KF365] 한돈 삼겹살 구이용 600g (냉장),"12,540원","구이용 (100g당 판매가 : 2,090원)",56512,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=56512&page=
친환경 시금치 200g,"3,590원",뽀빠이가 좋아하는 바로 그 채소. 친환경 시금치 (200g),718,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=718&page=
[Mr.주꾸미] 주꾸미 볶음 2종,"8,900원",취향대로 볶아 먹는 매콤한 별미,27202,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=27202&page=
[아임얼라이브] 유기농 콤부차 4종,"3,800원",자연이 시간과 함께 만든 음료,27520,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=27520&page=
[일상味소] 다짐육 200g (냉장),"7,500원","100g당 판매가 3,750원(냉장)",6176,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=6176&page=
[신선설농탕] 고기 설렁탕,"7,200원",뽀얀 국물 속 진한 매력 (양지 포함),68907,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=68907&page=
냉동 블루베리 1kg,"7,900원",Kurly Only,62642,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=62642&page=
[아임닭] 닭가슴살 큐브 8종,"1,950원",퍽퍽함이 적은 조각 닭가슴살,35970,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=35970&page=
[부침명장] 한입아삭 김치전,"4,080원",살짝 구워서 완성하는 간편한 전 요리,37794,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=37794&page=
[스타벅스] 디스커버리즈 컵커피 3종,"1,940원",스타벅스 레시피 그대로! 바쁜 일상을 달래줄 커피,43583,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=43583&page=
[서울우유] 나 100% 우유 1.8L,"4,990원",서울우유의 믿을 수 있는 품질! 든든한 용량 1등급 우유,49727,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=49727&page=
[귤림원] 당도선별 GAP 하우스 감귤 1kg,"11,000원",기분 좋은 주황빛 달콤함,68729,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=68729&page=
[아침먹고가] 도시락 6종,"3,900원",간편하게 즐기는 든든한 한 끼!,69078,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69078&page=
[스타벅스] by 네스프레소 캡슐 10종,"7,700원",NEW!! 브렉퍼스트 블렌드 캡슐 NEW!!,38168,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=38168&page=
[창억] 찰떡 3종,"6,600원",든든함과 영양을 모두 잡은,52014,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=52014&page=
[롯데제과] 추억의 아이스크림 골라담기 12종,"1,800원",골라 먹는 스테디셀러 롯데제과 아이스크림,71517,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=71517&page=
[최현석의 쵸이닷] 가리비 바질 페스토 파스타,"14,800원",통통한 관자를 듬뿍,69137,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69137&page=
제주 하우스 감귤 2종,"13,800원",상큼하게 즐기는 주황빛 과육,74050,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=74050&page=
[하림] 닭가슴살 리얼바 4종,"1,500원",손쉽게 먹을 수 있는 닭가슴살 바!,74173,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=74173&page=
[Dole] 유기농 바나나 500g,"2,980원",건강하게 즐기는 유기농 과일 (1팩/500g),31443,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31443&page=
"[LOTS OF GREEN] 콩으로,라구소스","3,900원",콩고기를 사용해 더욱 담백한,36962,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=36962&page=
[라엘] 순면 커버 생리대 7종,"5,000원",착용감까지 생각한 순한 생리대,36174,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=36174&page=
닭가슴살 곤약볶음밥 3종 (불고기맛/깍두기/카레),"2,200원",부담없이 맛있게 즐기는 한 끼,73857,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=73857&page=
[라아부엘라니에베스] 스페인 수제 감자칩,"4,900원",손으로 정성껏 만들어낸 바삭한 감자칩!,40710,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=40710&page=
[일상味소] 차돌박이 150g (냉동),"9,500원","100g당 판매가 6,333원(냉동)",6175,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=6175&page=
[교토마블] 데니쉬 식빵 3종,"8,500원",64겹의 쫄깃하고 촉촉한 텍스처 (순수 국내 브랜드),7270,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=7270&page=
[가농바이오] 비타플러스에그 무항생제 1+등급 대란 20구,"7,490원",1구 당 판매가 : 374.5원,78347,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=78347&page=
[외할머니댁] 차돌 된장찌개,"7,500원",담백한 차돌양지가 돋보이는 된장찌개,42765,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=42765&page=
[일상味소] 육전용 200g (냉동),"8,800원","100g 당 4,400원",27132,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=27132&page=
Hallo! 노르웨이 고등어 (3개입),"8,300원",두고 먹기 좋은 기획 세트,47711,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=47711&page=
[포비베이글] 크림치즈 8종,"9,000원",집에서 즐기는 녹진한 그 맛 (new 옵션 추가),43336,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=43336&page=
[프레시지] 연안식당 부추 꼬막 비빔장,"6,900원",간단하게 완성하는 맛집의 대표 메뉴,70691,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=70691&page=
[경복궁 BLACK] 사골 도가니탕,"11,000원",한우로 끓인 깊고 진한 국물,53979,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=53979&page=
[농심] 신라면 멀티 5입,"3,680원",얼큰한 라면의 대명사,69267,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69267&page=
[비비고] 노릇노릇 구운 주먹밥 4종,"6,980원",간편하게 챙겨먹는 한 끼 주먹밥,55589,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=55589&page=
[탄단지] 곤약밥 도시락 5종,"4,100원",곤약밥으로 즐기는 탄단지 도시락!,69963,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69963&page=
[굽네] 닭가슴살 볶음밥 3종,"2,700원",가볍게 즐기는,67356,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=67356&page=
[요미요미] 유기농 주스 6종 (3개입),"2,900원",설탕이나 보존제를 넣지 않고 과일의 순수한 맛과 영양만을 꽉 담은,7414,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=7414&page=
[갤러리아 고메이494] 치킨 마크니 카레,"4,900원",부드럽고 진한 프리미엄 인도식 카레,60362,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=60362&page=
[홍루이젠] 에그마요 샌드위치 2종,"2,800원",부드러운 샐러드가 듬뿍,72797,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=72797&page=
[존쿡 델리미트] 델리미트 100g 4종,"5,280원",풍미가득 샌드위치를 위한 햄,1680,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=1680&page=
친환경 애호박 1개,"2,750원",구워 먹어도 나물로 무쳐 먹어도 맛있는 만능 채소 애호박 (1개),97,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=97&page=
[브리도] 크로아상 냉동 생지 2종,"5,100원",집에서 즐기는 갓 구운 크로아상,52037,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=52037&page=
[Dole] 스위티오 바나나 650g,"2,950원",부드럽게 즐기는 달콤한 풍미,72636,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=72636&page=
[풀무원] 튜브형 쌈장 2종,"3,980원",간편하게 쭉 짜내는 쌈장,52812,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=52812&page=
[고베식당] 일본 정통 카레 2종,"2,180원",숙성 카레의 깊고 진한 맛,9224,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=9224&page=
[보고쿡] 미역국수 슬림19,"2,000원",완도 미역으로 만든 면,66070,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=66070&page=
[이연복의 목란] 멘보샤,"12,000원",바삭한 식빵에 스미는 새우의 풍미,75990,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=75990&page=
[맛있게 한끼] 국산콩 두부 (찌개용),"1,900원",보글보글 찌개에 넣는 고소한 두부,51489,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=51489&page=
[숭의가든] 옛날 소 불고기,"14,400원",달큰한 매력의 서울식 불고기,31421,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31421&page=
[초바니] 무지방 그릭요거트 4종,"3,900원",지중해 전통 방식으로 완성한,83235,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=83235&page=
[하남주꾸미] 주꾸미 볶음 2종,"8,900원",매콤하고 고소한 감칠맛,34124,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=34124&page=
향기가득 샤인머스켓 1송이 500g내외,"13,800원",땅과 하늘이 빚어낸 최고의 포도,61434,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=61434&page=
[일상味소] 등심 2종 (냉장),"11,500원","100g당 5,750원(냉장)",10944,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=10944&page=
[샹달프] 과일잼 7종,"5,290원",과일의 향긋함을 그대로 담은,51826,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=51826&page=
[아이시스8.0] ECO 1.5L (박스),"4,400원",1.5L X 6개입 (1박스) / 개당 733원,49442,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=49442&page=
[크니쁘니] 유기농 혼합 주스 4종,"3,920원",식물성 유산균을 함유한 어린이 음료,56845,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=56845&page=
[바븐] 완도 전복 260g 내외 (5마리) (생물),"15,000원",완도 바다에서 갓 건져올린,53512,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=53512&page=
