Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
590390,14465,23340,22980
401140,17189,21684,20559
290531,22555,17527,20800
830140,14048,14818,20848
903210,20168,21766,14278
620990,87242,110644,57990
847180,26297,58709,22791
730840,27781,22226,17317
390730,17596,24401,24778
293491,13576,11676,17052
845530,14924,13843,18130
842911,6160,13685,14320
871690,10172,12939,15773
300450,4504,3947,18813
844319,19257,22787,23860
720211,4066,13397,11075
330300,23213,31030,34673
490199,18860,16013,17645
300390,25502,26410,25412
830210,14368,17779,16718
790120,13968,22915,31626
940190,19844,21919,20598
850433,21803,26266,27006
871499,8933,14110,12576
293391,9491,23002,8263
940600,19748,22655,16326
10511,5826,19737,20666
300439,24678,9532,15682
481099,16071,18413,19843
382460,14588,23604,20283
71320,28857,27954,15675
293399,31504,19826,26062
281820,129536,180684,148639
720990,15462,11947,9771
852321,1514,3019,3417
821210,8569,9418,14052
844332,11177,16287,18185
732490,12171,13944,12660
340211,26057,47274,48843
720917,22007,19527,13279
380991,17874,20340,16596
180690,11094,20437,22265
841830,6967,11555,13718
520523,4439,6964,10466
902780,12048,12148,17801
740729,12598,17017,96177
843621,4081,7397,7769
390950,28232,26640,21321
390190,19688,23679,25257
871000,1050,0,1262
850980,15445,22321,22344
10613,1533,6984,6906
853530,17630,37243,10811
843610,8934,10806,14374
841950,31711,20111,36385
850153,14844,16916,16476
350510,11335,16184,16470
848710,9476,7662,12320
940120,12777,17574,12823
843360,5150,9682,9393
730630,12608,20646,20375
350110,10333,10664,15092
382472,8617,20180,13875
841520,15696,25396,18665
842620,18503,24306,28072
850240,89,405,490
847720,12196,12870,18034
853649,18616,23549,22143
560392,15112,18765,15778
280300,3274,5388,11322
760429,8359,28882,57494
290410,2583,14362,14383
290250,13687,20878,18307
441192,12509,13752,16762
740911,18493,30334,22092
392049,10466,14936,14150
860800,4054,11252,5438
610910,10141,19848,21602
20120,5192,30820,25493
842211,11915,12841,21107
560313,16012,14741,17237
902139,7865,25115,22379
845180,13278,18893,18720
841981,9720,13239,16450
293712,6797,23023,19788
293339,17596,12469,26166
842920,5548,9156,14047
291735,19341,22868,17419
80930,7581,11547,16435
842131,18280,20446,17026
392310,16965,21949,20798
842649,13132,19931,7494
401511,19314,21684,20944
840219,22868,12850,18976
230400,517449,242965,76215
90230,9460,11933,13957
940290,16962,7878,12052
640419,3283,8259,40509
230910,8874,12632,13229
530710,10933,9592,9065
844110,6462,11007,10985
90121,9636,14078,14847
841780,7460,20458,11922
180631,13092,14845,14651
71310,6575,5885,12482
520512,10877,16471,27211
320210,3603,3910,6177
901819,6255,8619,16351
291533,13119,21585,18033
151329,20934,25969,13063
845019,12705,15212,16500
340319,22429,31028,25932
291814,17083,13539,14644
720916,26767,41954,18123
841939,22216,16368,13917
180620,9451,19234,28890
291612,8209,16966,16319
901813,20127,14409,15325
482390,20352,25026,24727
722830,8911,10740,12689
380400,14721,14365,13957
902300,6079,12058,8654
481190,10833,18138,15577
961610,8929,13347,14757
620411,64816,55595,32088
330510,12808,14472,16601
293379,5253,13497,9748
721934,18317,18884,11648
281700,20713,18145,15421
901850,19697,20189,21364
902810,7147,10974,11257
846221,5968,1582,8989
291733,10516,18569,12106
853810,5507,11641,9541
842840,18744,3852,8452
847730,10926,9218,9020
844630,12954,23265,21831
850231,52570,67215,33440
842710,11794,10460,15510
842839,10496,7413,9353
250300,42895,75933,50509
291614,19812,25038,17712
711311,255,4683,4553
845140,9600,14671,13334
901812,12751,12151,13958
382440,19612,23634,14208
370130,11955,13124,13745
847431,13644,25728,22556
871120,2327,1019,19092
190531,5536,8223,12556
902890,6756,10488,18282
732111,14799,15599,14053
722860,10749,13951,16009
283531,17905,18286,9843
721911,9677,13605,11881
845221,3226,8774,13708
350699,21737,18046,16982
720299,8637,8178,13800
761699,12428,17092,18705
841330,12239,17723,13787
320740,14181,11086,10530
843629,7000,11715,10224
870840,28768,36477,21631
300432,3875,16729,20469
950450,1766,12586,18668
844180,16728,7046,9553
640399,7521,11941,11292
853990,23366,24795,15018
848130,12588,16380,13834
870290,104,7390,10465
845610,6301,9015,13984
550922,10782,8339,10215
170290,6188,8472,9613
853230,4581,16543,22520
391290,10498,11974,10719
580410,9946,14818,14192
847480,8468,18210,12609
730300,18569,13037,5921
392043,4708,5933,10367
853229,12066,13761,15732
283630,7499,9300,14096
870894,9759,11988,12629
540751,17258,25606,25049
842940,5068,8221,5994
902519,7492,7787,8370
854620,11009,18790,14400
860500,1603,1452,0
151529,5409,4272,6619
292242,8146,7421,11889
480511,13660,9834,12234
310260,7777,8463,14683
392329,19624,16398,14188
847149,16467,19618,14760
381400,4601,10735,8835
851230,5461,6393,8461
320300,8344,11836,11391
391220,13310,11708,11241
700231,7929,11184,9909
391231,10963,12478,10438
852359,5174,3089,2660
320720,16457,16623,14175
180310,11329,14347,12832
940510,13037,14626,15532
900220,73,39,10528
521142,37925,27767,32116
680422,11400,13896,13070
890510,2149,0,323
853641,17877,34121,30124
853400,11391,15764,13352
30353,6769,8688,10654
520919,4505,18948,18449
902190,67829,26385,22570
290532,11657,16770,12825
480519,16531,17535,14961
350300,8543,8088,9075
190410,4283,5085,6332
391190,7803,9944,9611
370110,10994,11343,13376
847160,6860,9391,10411
300190,2484,4695,8527
330720,11517,19332,16479
910229,3280,5262,8334
902610,11332,9847,9237
290512,3798,4430,4394
940490,2485,5154,6837
760611,8909,16179,12889
401519,4640,5445,5433
291590,15065,14722,12595
847420,16140,13979,19072
960200,5467,5741,7117
290545,13974,21906,17662
902212,22564,4577,10820
848390,26883,31717,24311
300670,9713,13711,11420
293220,7754,13522,11971
846721,7192,9465,8658
850819,9330,9784,9384
382311,9703,14160,13818
843820,10270,17071,14590
847410,6158,12063,26327
320730,3529,6955,6241
70320,3474,2475,4081
340399,14411,12634,12508
731816,5937,13438,12408
850780,3610,4353,10567
847141,51183,43515,58571
30319,10775,7456,12299
730629,5935,6458,13776
846410,11052,12464,15357
854430,6376,10083,8425
90921,6382,9179,12868
843131,11102,14624,11517
843041,9588,25246,26017
190532,4506,6442,9717
847190,11224,8956,15832
293299,8533,9839,10725
844313,4346,16765,13776
110311,6202,4650,7027
490110,13833,20316,14407
847340,6943,3461,5705
160250,3817,5839,5271
620590,4757,8824,20314
842619,5616,4167,7204
294150,4600,8187,6518
902219,17962,8485,32751
841990,15667,14765,13687
848140,14022,10602,13750
961900,16714,9987,11634
294130,10681,8583,9830
310540,8790,6684,7595
281122,9341,13025,14435
540341,20514,14088,8633
480300,2466,3040,7308
843860,3327,15581,7457
