Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
841830,24341,23317,28316
851660,37033,54316,49939
20910,0,59437,63000
321519,41370,50376,48383
850421,29257,30781,30625
852290,48978,54817,27659
841989,31195,57369,40696
761699,14060,27671,35363
841821,32392,39040,49406
851830,13409,17307,27390
741999,12050,22672,35749
640419,30908,79179,80935
190219,11721,25819,28230
71331,23904,28186,31097
350510,36212,44521,49665
847190,46465,47642,32335
842720,49361,59205,66889
720916,70225,90879,61042
842121,77992,37662,43693
850431,27931,37249,26909
903289,39029,55120,57106
852580,0,73119,64862
391000,58550,63480,47552
842240,54023,64410,47434
848071,46925,19415,33513
390740,18324,31891,43840
481910,42487,60868,42508
842290,37592,36278,38378
470321,39552,47346,42599
854089,26558,47955,57897
271490,41772,52468,57826
482110,32146,35459,40457
841370,46083,39147,63730
110812,10693,31648,33808
721030,32723,54261,41260
960390,15664,31024,32156
850650,15674,51565,65445
390799,46033,37983,42543
853222,8455,23994,24270
841590,60304,54625,44892
841391,46287,49875,47388
841850,36223,42175,49214
851822,28521,36548,40652
392321,41413,39354,32545
843139,59684,31353,46536
151620,50278,38785,42221
160249,20478,28639,24578
910221,21349,26667,23184
691010,25051,37528,49570
760120,60992,63558,45651
850432,6034,16806,8682
730840,44424,59074,76670
420292,32011,46366,58618
900150,45365,54953,58406
853620,58989,63619,61910
842641,23249,27965,33103
390319,31829,43892,52614
151419,22001,28555,26609
910211,19777,26542,31676
720719,3576,5908,96
392099,34047,28663,31395
842890,40624,48171,29714
691490,2481,7572,7469
392329,22573,26716,28344
392119,31827,39977,42718
170211,11337,16763,25135
844332,0,66871,68132
392330,25920,34872,34102
903149,19087,39024,24654
851690,21856,34763,49670
731210,32648,40675,39951
853529,14615,26166,16874
330790,8584,19431,32588
902780,24406,28391,33565
853340,23219,53834,30480
852352,0,42955,31243
120242,0,29157,34487
420229,14135,27209,29946
731829,17104,20783,18124
292241,36287,34711,36791
210500,11019,15111,23746
440710,15955,21906,31141
392410,31456,41107,37689
293627,18337,21544,15940
71310,20277,22020,23244
390950,27845,42325,51357
841899,34428,38224,36707
210210,29105,29808,31919
870840,65607,56694,44489
851890,27934,42093,54410
621010,1806,2109,8950
854390,53762,81597,80171
730830,16328,27608,36041
841451,19043,29137,32633
350790,27962,30221,36536
760612,31090,36015,34837
291590,6973,4417,13524
290511,42048,46278,48202
851679,16591,22229,22975
480519,17991,39703,36285
250100,24878,23367,35025
560314,4543,6499,17131
30499,0,12542,40062
854620,20257,23524,16452
850590,3887,47723,50570
330730,3406,5384,8091
731100,22790,27861,28248
120300,97135,63517,19526
350691,37302,33240,34624
900220,2959,19293,45467
490199,77694,75231,63614
680530,15225,10925,18721
200290,26901,22092,36045
732111,21782,30572,30061
848310,53609,56242,48411
300431,25918,31783,39361
871150,21650,24860,47380
843850,32250,15926,27437
300660,16097,8975,10943
330590,35399,34422,39244
810196,2501,5260,42440
330491,14165,23446,32086
150290,0,16573,24969
848190,101644,43716,38132
847890,37374,34980,61182
392620,26898,21776,33515
30313,0,21188,32478
590390,19097,32665,43793
540752,9768,42737,46105
841990,69173,58811,46832
848620,0,62252,41497
120991,16349,26246,23248
846693,4497,26030,29078
761090,37201,52488,52903
721720,16585,20173,22950
950691,16684,24672,26032
270111,43780,40054,57745
842839,90577,30605,22091
260112,15053,21585,32647
321590,41775,26361,24221
230230,1677,10642,33235
350400,18601,21008,20383
390390,40507,39457,32042
