Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
760720,174015,170187,177274
280469,214378,261164,199784
691010,174700,179190,191473
902150,184058,159537,199751
902519,89642,104079,135896
900150,299537,273666,258946
120242,139179,125655,119779
830249,163722,211759,207565
842490,176130,202659,185661
852352,196505,175036,199979
870350,38323,224,31312
841350,192149,215306,225451
260112,267062,240649,217143
901850,172908,202996,209461
220600,212534,183491,178931
842430,157478,164164,136588
761510,135555,158735,154616
440791,187342,191805,167824
761010,165307,207092,175637
330410,275538,259235,225282
842240,190788,202386,189280
711719,239061,224798,227995
292429,145417,144065,193247
640291,203557,212060,227496
340290,171789,184076,158997
390799,235495,223946,190233
830140,159537,174824,193462
848210,184253,220312,209694
200490,65842,125210,175789
691200,167163,180962,188981
853950,87844,128540,158570
940520,212280,196353,214370
560312,115969,147577,167672
261400,168548,212433,157267
621050,132098,131395,134894
381512,153149,156957,189888
851610,155108,163205,166664
940370,155993,152905,140068
380891,162087,219079,228400
350790,115087,137423,145738
750512,209243,185114,205166
842839,140638,109873,108802
330720,204979,196591,191067
80450,170851,179548,175222
80522,135887,141212,158568
960390,120443,128447,143098
190120,200460,183351,191130
850131,155278,176388,216068
80212,153142,151375,162178
702000,168058,152484,173589
880212,337110,117348,103494
845121,118550,119592,127188
320890,169307,188223,186613
903210,159974,163181,193788
851629,183689,205662,193329
731816,198087,212701,201489
480261,156268,176188,171112
151219,114312,71043,94930
490110,135059,176473,188481
150910,171976,176383,158121
151211,197569,222480,232712
841840,109942,105138,120012
848330,170211,192852,202760
390730,213461,230191,214336
330610,155784,172355,163582
610442,175412,194806,182442
732399,136558,156200,161252
293722,293764,84815,79655
620469,197462,197307,216941
350691,179957,187867,197417
700910,189128,175195,176770
871499,200318,159909,168402
20442,147897,165293,114994
846693,190825,225692,248181
190220,131750,135472,148611
390950,155202,184677,176329
60314,152921,170713,156460
721420,187347,252647,214616
843890,182991,186985,173305
901813,134757,114495,140103
730511,7388,2148,27019
890520,1168007,1000935,398565
80719,167561,181920,157452
760711,141215,159137,173138
80132,216962,199595,177490
611241,199083,217477,224745
441239,176796,221872,191071
851632,110273,112501,140858
851821,137820,146419,141300
620630,269418,234037,185531
843390,310615,189817,176247
940330,126485,139919,140846
722592,286897,276486,234768
790111,225720,270920,187646
730429,128998,165393,150020
640340,185805,180527,174927
970600,191401,318258,289058
350510,129646,152193,160884
901812,80804,101142,99427
420231,220352,227699,218859
300610,187372,184411,177898
390740,221899,231229,177841
847982,122724,125743,168212
630232,140685,132682,134641
720851,152543,225677,178699
330690,104270,107044,120148
900211,155005,165920,173899
852910,229847,198300,226213
441899,153682,139253,150322
860799,124953,265158,209644
480100,272006,277936,267497
392630,257363,274875,348285
650610,150481,165400,155327
700711,246998,239261,192753
901849,123239,131330,148192
80830,130301,131928,121771
681099,182931,198419,207679
380991,158590,160543,146531
830210,175464,176989,166697
621040,152473,174924,169610
481190,174948,209939,191107
902730,122107,119736,112270
620433,185894,182752,179153
293339,128544,169532,295680
441011,212825,236705,195012
293319,21819,35292,22033
300450,163378,136420,130427
320611,113054,143522,139021
441600,148327,167410,171332
620113,148673,168993,169715
841990,200283,205542,195145
871410,145995,175479,166834
300230,126387,147612,120146
151419,61937,45391,36783
480524,134384,191968,157436
940340,169899,142776,139332
690410,109609,155362,175584
854420,150831,159790,158675
392049,181067,201490,176136
310520,132635,154975,145761
853720,192519,197599,188725
271112,231909,197960,206123
847790,167614,163423,180380
20422,164907,163661,145239
210410,108046,122099,133590
870210,270742,255370,240148
848110,145755,166429,165043
903040,128973,135004,166561
848690,121032,156154,145348
200599,103078,116036,121780
880230,175039,191637,156678
940310,125538,165582,168417
80930,121609,135276,143809
70820,106516,121315,115805
848420,128317,170462,185300
610821,175895,165687,173007
902214,127280,104390,116892
290321,216032,194385,146850
230800,107878,147940,124590
700992,112377,116300,121765
760120,172779,174985,157592
870370,372,10,20
640319,167517,183324,153111
482110,129907,159686,156000
382100,76054,85612,83982
420310,175236,187481,169713
890392,625591,186575,120152
401170,124498,140672,138569
390931,213612,236346,147892
640219,149026,154852,155279
901320,168195,141102,150301
848071,139135,132762,116670
570320,195989,190999,176978
620449,169619,191391,193900
330129,148850,150726,133802
491199,172270,173628,150275
392099,120837,153883,156073
200799,161582,168713,123396
70190,112228,105180,140735
843351,124886,120369,131799
902830,310830,277832,204201
220820,148884,142033,132576
903149,139227,165612,172847
390761,125933,129192,166108
901580,124737,149816,126529
842691,140249,146163,182076
610822,168895,165430,172851
902920,162220,191629,157585
950639,125315,131355,136487
220860,189549,196075,146427
220110,164959,161383,146556
848620,62564,66878,58080
870410,167022,162641,217680
841410,137205,157418,157680
851150,192083,188038,150187
610831,127106,141873,126402
200190,134079,144386,125185
900190,129494,132980,127924
294190,102011,142983,122465
721933,168301,178694,154324
722220,119354,157145,156412
200899,135949,145226,133846
853120,178472,187943,194896
820559,134111,141338,136885
950590,130421,143144,142293
251620,114748,117431,112008
810520,131644,195764,115325
850152,106228,125194,122352
220890,89376,124974,127708
220840,93869,96473,107745
20110,152419,138657,100750
391190,128048,139028,139837
680300,115866,131604,130462
851290,151523,160662,143351
630222,151703,132396,124470
870895,258086,249757,199219
40900,130779,128606,111100
310420,100092,99214,138046
621133,112434,136862,143569
940599,167745,157733,149496
841582,160064,168048,153088
731814,151684,158907,145117
71420,107513,105218,107708
81190,108337,110074,108787
871500,165034,156224,142049
481019,280901,253230,215652
848140,113451,125145,147689
392113,172330,159551,139032
320417,118387,144623,134929
691110,152271,151143,160266
350220,110539,72518,91468
392640,92033,104819,119380
720712,126513,383043,179810
160529,108740,121480,99337
842489,104010,102050,108337
200979,77484,118415,87890
900311,188342,213528,157155
853630,113616,115920,132848
731100,96638,122386,119019
382370,93025,148659,119553
846722,100357,112993,112424
482369,116317,133904,139775
902680,185048,189051,167975
640520,186512,201157,171492
21099,121890,114193,125381
330790,92085,103754,132591
40390,283443,301557,166511
270799,129414,407491,295624
630221,123850,129637,127473
852190,164297,137645,123961
845710,175087,179095,154526
230641,48512,49101,58089
