Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
842123,15482,12220,9017
293622,11535,13423,14276
732399,2794,466,12878
91011,5546,4671,3115
391110,8596,9907,8728
390330,22341,13097,4458
392049,18849,13741,12696
846299,4278,6640,6011
843229,3595,1526,2298
840310,2549,2284,9115
300630,1113,1677,24711
843860,8930,8129,4233
730630,10425,10554,4198
630140,163,91,16892
292690,4538,4326,9819
350510,18005,16046,11602
844849,6533,4847,4956
848299,2993,1561,4006
870810,24872,18113,10418
291712,6458,7930,10583
390940,7499,7738,12501
860799,117348,10102,5197
847410,116126,25659,25505
901110,197,291,846
340319,6721,4323,11268
120242,31481,23585,13366
320420,7996,9038,9840
850760,16604,16756,8307
721921,10928,7139,5828
850410,5370,4452,8800
850990,3930,2538,5497
10511,9511,8550,7237
845611,6137,1532,8020
730830,29952,5346,6762
240120,83885,26940,7269
300610,4941,3116,12172
293621,18357,12250,4006
847149,2450,3170,10473
841581,34355,15191,32269
293624,7462,9511,6768
702000,4420,3300,11512
851490,11604,18928,10108
500200,11284,13159,14430
903290,4458,2202,4558
310420,10249,23599,22509
842310,4188,1033,4179
841221,2751,1945,6341
392062,6260,3626,10599
401511,6850,9401,9419
851640,15104,4862,8630
550290,7426,5108,
290544,5938,5889,7666
847730,16895,16675,4352
760720,8575,9970,12845
290711,6345,7759,11136
722840,326,139,4698
850220,109978,255205,26907
870892,21434,30521,4214
310510,21249,9424,5644
854239,1914,1164,2754
281122,12153,12041,10976
292529,13351,15665,18738
391739,4734,2146,4580
391190,5181,3980,6233
902110,57857,31908,11060
852351,34782,20033,36221
580137,81,89,9019
701990,8478,3463,4285
340399,19818,13258,7946
871499,41784,23976,5027
291590,13698,21407,9828
380991,11754,8391,9619
842131,9777,6200,4572
391231,6637,6145,7066
392321,15329,13459,5290
830710,2418,645,4947
392410,2141,585,11094
330590,32151,12441,13469
440890,9898,4460,5443
320810,17451,15761,4950
291639,8814,8106,5240
600634,0,37,6703
851829,25072,12432,9949
210111,7809,6102,15823
848079,28249,20454,6362
180310,4789,2949,5192
340120,11076,10662,8305
293190,13990,15630,10984
843930,37249,40614,6268
902230,8171,4350,4605
300219,10353,4847,24802
190532,1381,332,4969
310520,7914,5924,7363
400239,3110,8381,9264
591190,8272,6058,11049
390740,49698,44211,10729
381210,11333,17144,8240
340490,11813,11576,8067
847740,12589,13810,8862
482320,6125,3872,11051
853120,416,301,10673
854420,6024,2206,8147
391390,2822,5241,5067
721720,6696,5428,3447
390730,48355,31722,14677
280469,13754,6968,8148
830990,31293,25407,13871
841690,21033,5159,4671
300410,1633,2721,4039
820719,39841,16341,5276
200870,6019,9110,2855
847940,25915,3553,2789
852721,9692,3743,4458
580123,43,27,2259
401031,5192,4215,7254
847130,118742,82925,180303
722220,4422,2086,8750
843490,7153,21994,8519
722300,8776,9288,6584
853921,121,141,7713
481160,7001,7662,8875
842441,2890,1925,2213
100510,9927,7456,10672
730459,12048,5825,1096
220299,4400,1189,39736
910211,7431,9558,8763
901780,2340,1015,2828
180690,8815,1323,19484
392329,2157,3392,6432
392091,9101,5227,7181
392051,16357,11007,6409
960719,3747,1242,7622
390130,27425,31503,15133
844540,21918,22927,8293
130219,6278,8435,6180
401035,1657,2787,7181
761699,1502,469,6117
842010,2272,2309,1794
482010,561,206,7918
320419,3754,2897,11858
721933,38792,29701,6632
300450,5293,4933,13508
590390,90759,43971,11411
80111,19000,18153,6904
730431,10939,6341,3033
300214,0,0,
250700,14971,9576,8087
392020,13739,9816,9987
253090,2690,1485,10994
851660,20737,7456,6963
292390,5819,1603,7959
481029,31040,16076,14991
721240,4740,6357,2985
850213,44827,31492,11296
845710,12670,5977,3330
732190,10218,7035,5057
401019,6344,2534,1053
848240,2452,1087,3569
540751,43,1178,1581
851680,5810,2823,5013
852791,8165,0,7997
320730,6204,4560,3895
843390,12488,5659,4959
821599,2246,739,8086
240399,9333,3,6272
292229,2361,3392,8312
680610,3876,2797,3224
940591,18037,11695,13004
481099,44569,43643,15815
551211,0,0,401
390461,3771,7039,9617
400270,17726,19856,6443
170211,10844,8912,10373
730511,8062,11774,6896
540110,3370,2731,5949
300590,1363,733,5884
200799,18705,12383,12559
390710,16352,10243,5851
760120,58789,22893,1392
850151,4819,978,4873
340391,6126,4765,6062
850870,19013,5265,5134
293890,12629,26646,3160
390210,29059,20241,5870
293690,593,169,17328
853661,1036,1303,5135
850720,25835,11315,7585
292800,4229,6517,4438
950590,2174,772,4677
851821,6898,3612,4688
283524,509,478,4802
392330,8219,5057,7198
846490,15775,4099,3206
902890,8297,4049,5602
400231,12684,12151,7521
844712,14402,6726,3911
844720,7028,2246,3045
821300,7762,2545,3179
292217,0,1001,7297
846789,10597,3909,3609
852910,3930,3559,6330
851679,470,388,6415
841940,135233,321222,3751
960390,7183,1931,5698
400299,6781,7508,6759
401519,9997,9708,8310
170490,5294,2003,9498
821210,26073,7414,35759
580421,358,1924,4013
540753,2864,229,2809
292219,11746,15312,4131
903300,3056,4000,3405
810890,2531,4970,5721
481390,8357,12603,9696
540720,2517,1952,20404
482390,1132,979,8189
591132,4409,3808,3686
290721,1642,2736,5185
842119,3241,6244,10191
870410,110198,189806,17941
760429,3061,3181,9722
851671,11370,3619,15664
843840,0,0,2
841122,6,14023,1945
130232,1553,3806,6096
293379,5476,10433,4878
940320,5672,3422,7322
400931,12436,7014,3231
842810,21444,20072,8499
820110,1825,619,1582
830120,2878,1105,2952
841939,133485,101807,5369
390890,3689,5667,4366
680510,2507,2427,3159
550490,424,3159,4220
854620,6285,4846,6500
843239,954,510,4194
841920,12007,7526,15688
551321,0,0,4040
520524,2468,2394,12978
340111,2523,991,20857
853225,5704,3636,3612
845130,9832,3807,4327
711790,2103,96,4712
550951,2267,2049,8082
732490,7436,3461,5163
842959,11208,6294,1407
292130,6436,3971,6212
841981,8321,8999,3482
150910,23440,12143,9467
847590,2225,3278,3787
690320,35248,31497,15587
560500,1293,1060,4078
380992,7505,11155,2784
840790,1818,714,1657
821520,8722,7943,6525
320820,16014,10390,6780
848230,1268,2444,7223
844319,38870,15408,3902
844711,4442,1119,2247
293220,926,339,17011
871500,2956,917,4604
820320,2839,903,3501
293722,2101,2755,5319
392620,1923,4763,6528
853521,8005,2611,3694
902720,14718,9147,5052
400921,8683,2656,4404
481320,5575,5387,7941
846694,8732,3729,2804
283539,3491,2616,3649
340211,15119,9209,5783
401170,4191,3002,2776
580410,2034,2069,5555
721633,17508,14533,3338
950510,385,69,6014
841520,5172,7390,1157
853190,27909,17070,5703
30342,13584,8954,17132
540782,0,15,2083
151411,1585,428,1758
80212,0,0,139262
850431,3315,1912,3310
844790,11028,5791,5552
350400,4511,4181,6936
732111,5297,3908,6234
842790,5182,2127,1051
441112,12602,5983,6225
844130,20680,5268,2692
621210,173,29,4689
841320,1074,568,2518
40210,26080,16086,14642
320413,10152,6476,6166
960321,20949,7147,6185
701959,4275,4171,4809
841710,28227,15123,713
846221,10558,2149,4266
293723,2458,2379,5798
200599,0,0,116
390769,2901,8054,41633
292119,1493,2396,2217
820750,7526,3526,4075
481141,2273,2914,8631
841810,99994,25930,65686
71340,149188,97084,26175
850710,6291,4287,44915
520819,500,0,695
844316,10518,13960,549
294140,803,2205,7889
370120,163,33,560
820559,1896,467,3550
730791,13095,5042,4062
720852,4291,43,333
902690,5152,5902,3115
380899,7153,4420,8880
854390,8443,7100,1823
