Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
902690,35127,58914,42940
290110,53370,99259,84877
210112,119758,138935,83267
390421,43498,46212,50433
940310,96847,81762,68160
843139,69188,51512,63054
480261,25769,31460,32166
320890,36866,37577,50076
847050,25853,17229,26803
441239,49064,45853,45729
80450,59828,42106,47818
851679,54186,69347,75206
480300,121235,124989,132008
610711,7497,29165,45603
60311,54258,58968,66843
70320,65560,36361,51752
620449,96899,98574,111275
210410,60341,58021,56858
480524,14248,21803,48024
760720,56475,50524,62352
841112,20205,114734,152399
940390,42335,43106,57359
282720,25447,23212,39699
381519,100826,65734,61853
220710,23410,44033,43637
90832,59107,53998,68630
330210,56734,61442,63186
741110,58171,48845,54708
871499,6618,5716,9584
390720,68706,74169,64355
843041,11410,16516,35211
842240,73923,58554,61673
842131,71154,72422,75424
847141,53478,33990,63205
621050,255919,216946,266058
841582,100950,51307,18682
81010,50354,49804,55595
420211,28221,25259,57639
121410,35734,31272,5663
870423,94652,59795,36743
732399,117057,113260,159885
690290,45718,70183,58488
841981,37505,48969,59971
844332,73243,79083,75080
481141,35737,33837,42716
847982,38476,34531,59335
870490,325,406,7434
730419,93492,66007,70934
300439,87603,402870,214346
283620,57290,72543,80107
620342,40465,42372,43241
845011,78800,58444,52762
730723,13287,16025,12530
848790,282984,185965,144027
853400,5057,5120,5950
650500,74017,65878,67440
392049,46548,39563,45708
851718,53065,85839,61624
151211,34634,84288,70208
840820,37796,23324,54818
330491,26593,33558,59180
841480,303528,222546,161312
902710,50550,50196,44713
200570,24673,23650,33801
720852,54279,40244,105780
854390,15208,24015,25153
441113,25273,27895,34898
281122,42814,46753,55803
852610,214348,328283,271397
850153,60531,35910,49822
481910,26090,55082,66132
40390,64453,59999,64397
853530,115465,54930,40642
845012,37021,17953,42578
440725,67180,58443,59691
290230,1712,16547,32350
680223,9802,11226,17645
830230,75779,71324,91385
640399,49293,42508,53816
420222,59541,62054,75593
732620,32281,30614,39245
848410,37801,35202,48500
540761,16567,23616,46135
730619,41166,23234,57191
850760,14331,13129,37425
720917,12788,14862,39506
903289,120850,217885,70213
420292,34361,39347,51983
847790,25741,33077,40869
846694,36546,64088,61036
848310,76727,53287,57346
830241,20266,26294,24671
481019,61213,69844,58817
80212,37704,35800,39339
854370,27105,37614,27542
730830,25299,24450,41405
848210,53041,50723,52622
611020,52055,46023,23749
70511,37636,35849,38972
330420,37779,48936,54865
200811,36329,39712,41723
80132,34467,52344,54481
870891,45229,32757,41920
701090,41772,45742,52317
282759,24257,15209,43187
841440,35582,49564,48527
760110,11147,4465,32312
852352,27923,36650,32945
901580,49900,69939,121933
551512,3071,3661,25850
761010,22193,55375,87454
391890,26181,30141,47591
91091,26590,28693,32044
300510,34632,39169,55634
390230,38780,48243,45505
730690,83423,125128,44334
820750,9040,12507,17180
940171,29428,41158,48099
853649,119101,74498,57971
481159,79213,50305,47423
160231,16509,42600,39143
701990,26834,33757,30796
121300,15651,14107,24060
291570,44838,46176,41175
611030,41648,38869,16921
481850,1615,1670,1726
470693,53058,46415,47516
730422,4594,6449,20816
902214,57966,50276,46672
848390,46330,43788,50510
841459,68448,81152,49618
390130,45183,40368,40080
91011,26696,23762,25732
20442,80243,59607,49484
870894,25856,20640,35440
730719,26272,36482,36333
390730,28129,38581,53440
870422,128716,81465,71841
180632,40935,16389,39170
610442,7710,16132,31939
40721,449,4168,476
330410,43110,48028,55525
870410,30194,20848,82848
210320,41217,34517,42037
381400,51416,48428,70238
847090,6898,2330,5995
610423,88406,52501,97619
71340,43474,33991,32766
392330,37866,45178,44406
200989,64301,52857,34937
830242,20656,31480,31700
621142,1775,3270,8656
870870,34447,34670,49029
847910,20609,37609,41053
750522,10330,3916,37467
680229,56929,41586,46689
330749,22796,26988,40954
850300,47380,65502,46030
293190,62474,141541,116989
750712,6574,11107,24151
730411,20219,35586,30181
830210,30048,30117,39034
151620,65913,46592,38425
630140,37215,31965,34966
120921,43605,18992,40125
610342,14385,12475,25524
381190,27407,25396,45763
760691,50189,62669,52691
120991,21580,23758,26249
220720,11875,6534,7415
350691,31116,41075,41177
850450,37361,40885,48489
841790,33424,19216,19777
760611,140946,130251,61180
620520,78773,75659,84469
71320,63524,50843,42160
390760,47559,31323,54492
851610,31821,26954,31359
852910,39517,37167,58944
720837,26921,15015,34310
871200,26807,36513,39798
850140,43587,31907,40617
910119,36215,39714,42290
481190,48791,48962,47148
720827,67228,79230,106677
722530,5279,11349,26670
200819,44341,37735,39314
850231,1752,81,134
210610,26472,34798,35422
902300,39368,42043,51213
730840,77447,62005,55502
730519,14288,19156,20848
621210,35336,38682,46946
841350,60285,66086,68206
850211,41404,37448,41617
790700,11885,9505,18343
847190,52868,53450,49652
950490,12205,14596,15967
902519,24662,21309,17647
482369,29157,38374,49763
670210,17998,20220,31332
843141,5164,6396,13826
392329,24464,29832,33038
841830,27295,15499,19384
902219,17380,65814,75362
80211,33929,34319,39612
852341,1433,943,62796
391239,35251,38606,37599
392290,28962,26367,33172
721632,32366,34754,47660
850212,34284,36633,39824
270810,21631,53085,42696
480519,11903,14793,31202
901850,37029,34549,45945
721070,68931,60563,35361
20210,29555,36832,14770
390810,13451,12810,10604
200190,62950,65821,50157
711790,51683,63300,46908
854690,22092,14858,15630
847480,13889,12450,32812
840910,81723,114098,65626
381600,43373,47750,45162
730611,2786,3860,13416
844399,58100,161936,164394
841583,82141,124380,75814
730711,39500,30397,37133
300620,45956,29129,22916
610413,37269,86828,119220
848420,38128,41824,46237
340219,46213,44292,42381
850811,13831,14637,26323
620630,42513,37366,53222
441294,27655,15761,30212
460290,28042,41915,51969
10613,64521,35865,46343
200969,7401,4106,5457
350610,41158,26366,29908
392119,61879,56873,66684
730490,54989,54352,32244
80930,24144,26343,32167
40719,10049,18266,15629
640520,25934,33733,44403
30214,8171,13542,20030
842211,26832,17524,27930
330190,32633,31579,33192
841581,163186,56084,50514
842890,25735,46329,35685
854511,18519,81335,78699
160210,2176,1656,40810
170290,23649,25177,42746
842833,71057,43804,97863
481013,27861,48509,56987
871680,32713,32553,30763
450490,1535,899,4084
900410,33862,33877,41144
848490,61094,61291,49173
841520,8851,16376,14995
391723,23446,22583,27697
290339,29973,36107,49103
480419,71727,77708,50064
340600,19575,17622,26057
80830,17605,21492,23701
620640,86277,67970,36464
730729,51253,48327,36162
210420,4433,14732,25337
200799,25925,32101,34911
380894,12650,20213,16806
230320,5417,18932,36179
871690,11592,7339,9870
320720,19800,15660,29013
283650,31344,31156,37101
843031,23873,30797,29496
340120,25130,34326,43599
851640,31886,39578,35927
330129,24493,33279,47142
481940,30630,42141,46124
560313,35341,33138,33051
880212,0,6000,3
960390,21419,21340,29384
720838,27478,12079,14242
847420,28644,13218,17311
722540,7391,11693,13767
480256,35752,40602,47218
110311,33201,37859,27002
871631,37620,22761,51153
620423,9465,26784,33951
731010,14726,10594,25841
