Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
871150,5618,5199,5363
610443,7833,7577,8301
848130,28046,25351,15845
330790,9822,12045,12224
250900,1528,1427,3859
401699,16157,10028,11383
903090,5429,4562,5349
711790,29616,23996,8096
840721,13608,5047,4267
381600,11003,16388,11828
721790,1872,11599,7796
731700,5340,6296,6734
820559,7852,7112,7108
300431,25123,33476,26832
80719,9342,9762,9954
681381,15045,11037,12595
901380,599,1653,2383
847910,19225,22871,37197
902810,657,172,477
901850,8307,6695,9808
391390,3560,3484,4788
320890,44777,52942,46595
930320,2358,1022,2331
842531,3110,3259,2651
847141,13451,11331,11466
620213,6844,7060,6365
690220,3413,5860,3887
870891,7641,7578,6713
610510,13703,14493,12162
300310,4333,2505,1850
844332,14621,14277,13182
91091,3321,3765,3994
851718,40103,33508,46363
847149,7904,7853,6055
900130,12070,12506,10244
830210,6434,5763,6461
200989,7066,10105,15339
340600,6142,6385,6955
961400,1487,1623,1909
590310,2417,3673,2710
340213,4673,23353,14845
170410,10046,17484,18525
300630,3701,5231,6397
560311,1201,1093,1496
200899,1560,2788,3715
910111,64722,30348,29225
680223,6062,4008,3545
842131,10258,10426,10534
821599,3276,4677,4208
390931,4894,20800,9429
853810,16998,28302,25073
760719,3989,6760,6109
620469,5936,5950,6439
902219,8859,7069,3843
820790,1834,2303,3031
730810,71280,70309,42988
731816,4407,3724,5650
321590,4081,4387,2236
854470,60830,66593,19739
847432,834,16021,793
551219,2086,2153,2411
852351,11233,15438,12999
70511,19447,24854,19256
851110,9054,7162,8031
970110,1614,17323,2168
71340,12515,8444,10243
850819,6735,8429,7854
851650,7038,6293,6022
721113,3653,2972,6394
820713,5906,5468,4917
71090,2910,3237,3056
401180,3857,5635,5595
610343,4785,5807,5888
700510,5961,9348,5825
845121,2292,2303,4320
120600,2827,3157,3422
761290,13052,16160,11882
730441,31501,19605,11050
842290,9693,7646,6139
852349,82248,45669,15111
200310,2607,2135,1987
871120,1386,2205,4291
330410,16420,20113,19887
481141,4542,5628,4772
482010,6234,6520,7310
903290,5686,9426,5826
732119,691,851,915
851769,7210,6739,6367
841121,8,0,17
10221,0,1327,5010
731442,501,382,498
841940,92822,23801,15242
391723,7846,8870,6028
870540,14137,14304,5288
340211,2454,2276,4205
150790,4398,8278,9913
844331,19890,18130,17476
851640,8637,10928,9622
841340,2845,4739,5815
851020,4365,5586,4955
621133,7716,8999,6503
620332,3678,2367,2160
901831,11605,15187,6963
540710,5065,6294,11135
610711,7666,7311,8072
80521,12893,9958,9614
847790,4484,2931,4591
730640,23874,8165,5689
842840,4475,5925,7752
391731,7045,7598,6984
621050,2950,1820,4565
830990,4986,4338,5299
320820,13454,8852,4595
70519,528,634,2659
610442,9604,11046,7013
321519,7088,13037,7786
620293,5341,5224,5442
842490,6611,3845,2154
871631,10735,12593,10260
30273,0,0,0
300620,2765,6495,20099
691310,2121,2650,2972
870410,108,116,408
845012,4210,4440,5214
480524,11417,15357,13001
200580,4961,4527,4324
853190,6592,11145,6819
440711,18336,9812,5434
847431,5783,5810,2844
847780,6695,2140,7859
841780,3500,4745,1996
761010,18719,13222,9927
392510,7062,8403,4257
790111,7390,12001,7479
854140,10294,7685,4585
847720,2433,1569,2847
481159,24243,26769,11017
40520,2701,5856,7040
71040,6042,5649,5504
540792,2693,3797,3414
730711,3205,15090,4882
741220,6182,6836,6583
903149,1941,1504,755
731431,2110,2190,2513
481420,3177,3362,2792
441820,11206,8029,12807
392020,5097,6020,5327
960200,85,162,231
901820,4910,2554,3782
902000,2852,1560,2382
730120,5806,5768,3038
570320,8141,5619,5365
730729,21057,11381,8314
853090,568,4404,5349
870893,7536,6230,7029
870870,4225,4653,5688
843890,4265,4954,3862
847190,7697,6554,4237
903190,4902,6004,2172
650500,11281,14232,12232
611595,10603,13070,12130
611596,3516,3797,4029
854231,3595,3369,2902
731822,3761,3638,3848
852190,7206,9723,5991
950629,1609,1557,1948
10511,405,3314,2410
841440,12348,13824,8850
20220,2846,2203,3174
870380,1430,752,2231
841191,383,1253,694
850980,3435,4091,4802
10613,24764,76442,19416
843110,11943,6350,5820
847340,5718,3569,3388
80440,9973,15165,14453
110412,2404,2074,1698
871610,4963,3714,2790
300510,8313,6561,8467
300219,10260,10140,4684
90422,2257,1993,2197
620193,4627,6046,7416
870840,5427,5665,6363
848310,4831,4872,5639
721621,6200,4574,5263
340319,10293,8860,7919
392520,2864,3981,3735
950490,6828,8980,7585
741999,5534,4468,5321
300230,6398,7438,6836
871160,97,86,270
830300,8240,3742,4022
843880,2756,5016,3205
841830,2997,2829,2894
200919,7159,8353,13526
903010,6592,6605,10229
391239,4549,5146,5956
843610,187,618,957
621710,9880,9291,10073
853120,7386,5647,7604
90240,3455,3154,2329
871410,863,1357,1368
30339,176,274,320
732599,4722,6129,4547
900490,2359,2768,2557
392099,8110,9083,3056
392290,4979,5660,5375
690490,3249,2533,2789
470329,7883,7886,7161
490110,4122,6337,5954
392059,3969,4770,6151
731450,4381,4415,2530
870321,1809,7441,16093
420211,5606,7371,8138
400942,7011,12734,10025
180500,2568,3599,3505
390120,13321,19643,15141
940169,7863,6406,5908
621490,3340,4352,3275
700991,2895,3393,3810
640420,24072,39067,39334
293690,12161,11973,8461
391890,1516,2112,2364
853931,9779,6137,5043
442199,4633,5641,4890
391739,6036,6380,3947
850220,9066,6949,4472
330430,4951,8710,5972
852910,3837,762,1523
853210,5815,4744,4799
70930,5878,5493,7227
853630,11113,13563,13475
960321,8476,9101,9452
620821,4481,3788,3554
731439,1878,2823,1205
160100,10264,6394,9209
441231,4212,3816,4920
842710,6934,7655,6396
30285,1198,1287,1027
210120,4949,3985,3468
300640,4799,4849,5593
842940,6995,17753,4297
902300,6171,7284,5991
848790,3618,4642,4446
902490,628,1477,1804
732510,4284,7264,6298
691200,7123,6572,6537
392610,8562,8864,7803
441112,4573,4419,3863
611692,1274,1885,1246
150990,4060,8692,5777
852871,5225,7358,3707
611420,7072,8821,8351
382490,0,0,0
20120,929,1983,9286
841122,14,86,17
482370,5411,2274,2963
20441,1572,3237,1161
293629,780,913,1268
250510,7677,9421,11178
851632,4857,5694,6673
360490,2467,70,141
903281,3301,3116,2782
350510,4790,4552,4736
701820,1635,2354,2400
71320,14240,9635,8175
283210,126,326,1920
850110,3727,3618,2997
91099,11043,10140,6885
330690,6446,6079,4806
691090,5253,4171,4094
350610,4180,4740,3719
930599,5505,2008,208
320910,6530,6240,7003
540754,1794,1475,1881
851822,7452,7508,9207
740911,8184,5203,6683
200811,4765,5370,5348
551513,2284,1798,3141
841920,3037,4440,4119
300390,3503,2928,3576
680422,4570,4559,4264
841320,975,986,1112
730439,4801,3206,6214
610230,4251,4389,4099
310520,6164,6966,4779
110812,2906,3387,4665
290539,152,110,99
853080,1934,7080,4625
210610,2928,1977,4592
611430,7995,7173,7349
390210,7542,7702,8957
730512,566,164,965
630619,11742,6273,1500
841182,105,61542,13
70490,6295,3207,4139
842920,8806,16715,4537
902720,19338,16348,4715
390490,1954,1602,1053
200490,4453,4337,27205
80420,3137,4667,2958
730900,70908,24844,30887
391732,6826,3553,2471
821220,3587,4125,3837
382478,1316,3299,1845
840219,19743,23513,3227
903210,6251,4561,4425
70690,2569,2264,2008
722300,784,1555,5584
630710,2552,2909,2788
441192,2373,2653,1577
847960,4291,2843,3095
848210,5514,5114,5878
